participant_id,participant_name,run,block_number,trial_number,global_trial_number,trial_type,condition,reaction_time,trial_trigger_time,s1_onset,s2_onset,trial_trigger_time_cor,s1_onset_cor,s2_onset_cor,isi,iti,button_press,s1_filename,s2_filename,s1_category,s2_category,elapsed_since_previous,target_trial_counter,is_target,target_accuracy,timer,tag,block_start,first_tag_trigger
JF,,4,1,1,1,3,incoherent_mock,5000,19.18599230000109,19.390383500000098,24.67176500000096,6.007125600001018,6.211516800000027,11.492898300000888,5,0.05,0,stim\poc_c_02.jpg,stim\mock_f_03.jpg,poc,mock,0,,normal,correct,0.0,6.007125600001018,36.57362229999853,13.178866700000071
JF,,4,1,2,2,1,coherent,5000,28.1889656000003,28.503479200000584,33.26855129999967,15.01009890000023,15.324612500000512,20.0896845999996,4.5,0.05,0,stim\hp_c_01.jpg,stim\hp_f_04.jpg,hp,hp,9.002973299999212,,normal,correct,9.002973299999212,15.01009890000023,36.57362229999853,13.178866700000071
JF,,4,1,3,3,2,incoherent_real,5000,36.19300000000112,36.46725530000003,40.99885209999957,23.01413330000105,23.288388599999962,27.819985399999496,4.25,0.05,0,stim\im_c_01.jpg,stim\am_f_02.jpg,im,am,8.004034400000819,,normal,correct,17.00700770000003,23.01413330000105,36.57362229999853,13.178866700000071
JF,,4,1,4,4,2,incoherent_real,5000,45.19099409999944,45.496940000000905,50.01171389999945,32.01212739999937,32.31807330000083,36.83284719999938,4.25,0.05,0,stim\hp_c_03.jpg,stim\im_f_02.jpg,hp,im,8.997994099998323,,normal,correct,26.005001799998354,32.01212739999937,36.57362229999853,13.178866700000071
JF,,4,1,5,5,3,target,5000,54.192903600000136,54.443535899999915,58.95859999999993,41.014036900000065,41.264669199999844,45.77973329999986,4.25,0.05,0,stim\poc_c_03.jpg,stim\mock2_f_01.jpg,poc,mock2,9.001909500000693,,target,missed,35.00691129999905,41.014036900000065,36.57362229999853,13.178866700000071
JF,,4,1,6,6,1,coherent,5000,63.192993300001035,63.50669270000071,67.77187159999994,50.014126600000964,50.32782600000064,54.59300489999987,4,0.05,0,stim\hp_c_04.jpg,stim\hp_f_05.jpg,hp,hp,9.000089700000899,,normal,correct,44.007000999999946,50.014126600000964,36.57362229999853,13.178866700000071
JF,,4,1,7,7,3,incoherent_mock,5000,72.1959136000005,72.42000089999965,76.95166179999978,59.01704690000042,59.24113419999958,63.77279509999971,4.25,0.05,0,stim\im_c_05.jpg,stim\mock3_f_01.jpg,im,mock3,9.00292029999946,,normal,correct,53.009921299999405,59.01704690000042,36.57362229999853,13.178866700000071
JF,,4,1,8,8,1,coherent,5000,81.19287240000085,81.45010440000078,86.73120139999992,68.01400570000078,68.27123770000071,73.55233469999985,5,0.05,0,stim\am_c_04.jpg,stim\am_f_04.jpg,am,am,8.996958800000357,,normal,correct,62.00688009999976,68.01400570000078,36.57362229999853,13.178866700000071
JF,,4,1,9,9,1,coherent,5000,90.190956800001,90.54631710000103,95.81100789999982,77.01209010000093,77.36745040000096,82.63214119999975,5,0.05,0,stim\poc_c_05.jpg,stim\poc_f_05.jpg,poc,poc,8.998084400000153,,normal,correct,71.00496449999991,77.01209010000093,36.57362229999853,13.178866700000071
JF,,4,1,10,10,3,incoherent_mock,5000,100.18200679999973,100.39254600000095,105.67394810000042,87.00314009999965,87.21367930000088,92.49508140000034,5,0.05,0,stim\hp_c_02.jpg,stim\mock1_f_05.jpg,hp,mock1,9.991049999998722,,normal,correct,80.99601449999864,87.00314009999965,36.57362229999853,13.178866700000071
JF,,4,1,11,11,1,coherent,5000,109.18700750000062,109.45593879999979,113.98741169999994,96.00814080000055,96.27707209999971,100.80854499999987,4.25,0.05,0,stim\im_c_02.jpg,stim\im_f_04.jpg,im,im,9.005000700000892,,normal,correct,90.00101519999953,96.00814080000055,36.57362229999853,13.178866700000071
JF,,4,1,12,12,1,coherent,5000,116.18989850000071,116.4197705000006,120.93488509999952,103.01103180000064,103.24090380000052,107.75601839999945,4.25,0.05,0,stim\am_c_03.jpg,stim\am_f_01.jpg,am,am,7.002891000000091,,normal,correct,97.00390619999962,103.01103180000064,36.57362229999853,13.178866700000071
JF,,4,1,13,13,2,incoherent_real,5000,123.18207989999974,123.46757939999952,128.49868539999989,110.00321319999966,110.28871269999945,115.31981869999981,4.75,0.05,0,stim\poc_c_04.jpg,stim\am_f_03.jpg,poc,am,6.992181399999026,,normal,correct,103.99608759999865,110.00321319999966,36.57362229999853,13.178866700000071
