,image number,image_name,condition,time when it onsets
0,5,SC40,scene,144.08350679999967
0,6,SC16,scene,144.59665920000043
0,7,SC23,scene,145.11100720000104
0,8,SC60,scene,145.62665840000045
0,9,SC62,scene,146.14019250000092
0,10,SC50,scene,146.65334660000008
0,11,SC17,scene,147.16743440000027
0,12,SC67,scene,147.67937680000068
0,13,SC74,scene,148.19254739999997
0,14,SC36,scene,148.70559230000072
0,15,SC12,scene,149.21795569999995
0,16,SC20,scene,149.73134449999998
0,17,SC11,scene,150.24311990000024
0,18,SC31,scene,150.7587878000013
0,19,SC21,scene,151.27063660000022
0,20,SC34,scene,151.7824128000011
0,1,SCR_FACE_30,scrambled,162.30538060000072
0,2,SCR_FACE_74,scrambled,162.8203426
0,3,SCR_FACE_64,scrambled,163.33554519999961
0,4,SCR_FACE_37,scrambled,163.84853289999955
0,5,SCR_FACE_22,scrambled,164.36181360000046
0,6,SCR_FACE_46,scrambled,164.87686329999997
0,7,SCR_FACE_69,scrambled,165.39210110000022
0,8,SCR_FACE_44,scrambled,165.90462959999968
0,9,SCR_FACE_40,scrambled,166.41926720000083
0,10,SCR_FACE_2,scrambled,166.93230179999955
0,11,SCR_FACE_13,scrambled,167.44495290000123
0,12,SCR_FACE_55,scrambled,167.95870250000007
0,13,SCR_FACE_9,scrambled,168.47173430000112
0,14,SCR_FACE_18,scrambled,168.98555269999997
0,15,SCR_FACE_71,scrambled,169.49887900000067
0,16,SCR_FACE_29,scrambled,170.01156009999977
0,17,SCR_FACE_4,scrambled,170.52460539999993
0,18,SCR_FACE_66,scrambled,171.03951860000052
0,19,SCR_FACE_57,scrambled,171.55191060000107
0,20,SCR_FACE_25,scrambled,172.06408650000049
0,1,FACE_22,Face,182.58663060000072
0,2,FACE_34,Face,183.09958860000006
0,3,FACE_51,Face,183.61154979999992
0,4,FACE_40,Face,184.12462910000067
0,5,FACE_52,Face,184.63888450000013
0,6,FACE_78,Face,185.1521157999996
0,7,FACE_17,Face,185.6666951999996
0,8,FACE_23,Face,186.17876980000074
0,9,FACE_54,Face,186.69331620000048
0,10,FACE_16,Face,187.20671920000132
0,11,FACE_71,Face,187.72142130000066
0,12,FACE_31,Face,188.23644160000003
0,13,FACE_2,Face,188.75055770000108
0,14,FACE_77,Face,189.26353420000123
