participant_id,participant_name,run,block_number,trial_number,global_trial_number,trial_type,condition,reaction_time,trial_trigger_time,s1_onset,s2_onset,trial_trigger_time_cor,s1_onset_cor,s2_onset_cor,isi,iti,button_press,s1_filename,s2_filename,s1_category,s2_category,elapsed_since_previous,target_trial_counter,is_target,target_accuracy,timer,tag,block_start,first_tag_trigger
JF,,1,1,1,1,4,target,5000,56.4780238000003,56.72057499999937,61.751842800000304,5.018254900000102,5.260806099999172,10.292073900000105,4.75,0.05,0,stim\mock2_c_04.jpg,stim\im_f_02.jpg,mock2,im,0,,target,missed,0.0,5.018254900000102,254.61763729999984,51.4597689000002
JF,,1,1,2,2,4,neutral,5000,64.47499919999973,64.73408840000047,69.76547430000028,13.01523029999953,13.274319500000274,18.30570540000008,4.75,0.05,0,stim\mock4_c_01.jpg,stim\mock3_f_01.jpg,mock4,mock3,7.996975399999428,,normal,correct,7.996975399999428,13.01523029999953,254.61763729999984,51.4597689000002
JF,,1,1,3,3,3,incoherent_mock,5000,73.46797890000016,73.68052480000006,78.96192929999961,22.008209999999963,22.22075589999986,27.50216039999941,5,0.05,0,stim\am_c_05.jpg,stim\mock2_f_05.jpg,am,mock2,8.992979700000433,,normal,correct,16.98995509999986,22.008209999999963,254.61763729999984,51.4597689000002
JF,,1,1,4,4,3,incoherent_mock,5000,82.46799939999983,82.71043959999952,87.99161830000048,31.008230499999627,31.25067069999932,36.53184940000028,5,0.05,0,stim\hp_c_05.jpg,stim\mock_f_03.jpg,hp,mock,9.000020499999664,,normal,correct,25.989975599999525,31.008230499999627,254.61763729999984,51.4597689000002
JF,,1,1,5,5,4,neutral,5000,92.47400050000033,92.70660619999944,97.48809379999875,41.01423160000013,41.24683729999924,46.02832489999855,4.5,0.05,0,stim\mock2_c_03.jpg,stim\hp_f_03.jpg,mock2,hp,10.006001100000503,,normal,correct,35.99597670000003,41.01423160000013,254.61763729999984,51.4597689000002
JF,,1,1,6,6,1,coherent,5000,100.46799979999923,100.72007659999872,105.75147119999929,49.008230899999035,49.26030769999852,54.29170229999909,4.75,0.05,0,stim\poc_c_05.jpg,stim\poc_f_03.jpg,poc,poc,7.9939992999989045,,normal,correct,43.98997599999893,49.008230899999035,254.61763729999984,51.4597689000002
JF,,1,1,7,7,1,coherent,5000,109.46701089999988,109.78345239999908,114.31491479999931,58.00724199999968,58.32368349999888,62.855145899999115,4.25,0.05,0,stim\im_c_03.jpg,stim\im_f_03.jpg,im,im,8.999011100000644,,normal,correct,52.98898709999958,58.00724199999968,254.61763729999984,51.4597689000002
JF,,1,1,8,8,1,coherent,5000,116.46800499999881,116.69736999999986,121.72864209999898,65.00823609999861,65.23760109999967,70.26887319999878,4.75,0.05,0,stim\hp_c_02.jpg,stim\hp_f_04.jpg,hp,hp,7.000994099998934,,normal,correct,59.98998119999851,65.00823609999861,254.61763729999984,51.4597689000002
JF,,1,1,9,9,1,coherent,5000,125.46499149999909,125.72705270000006,130.75851599999987,74.00522259999889,74.26728379999986,79.29874709999967,4.75,0.05,0,stim\im_c_01.jpg,stim\im_f_04.jpg,im,im,8.996986500000276,,normal,correct,68.98696769999879,74.00522259999889,254.61763729999984,51.4597689000002
JF,,1,1,10,10,3,target,5000,133.46500070000002,133.7574198000002,138.28889809999964,82.00523179999982,82.29765090000001,86.82912919999944,4.25,0.05,0,stim\am_c_02.jpg,stim\mock2_f_02.jpg,am,mock2,8.000009200000932,,target,missed,76.98697689999972,82.00523179999982,254.61763729999984,51.4597689000002
JF,,1,1,11,11,4,neutral,5000,142.46895589999986,142.6872829999993,147.46861349999926,91.00918699999966,91.2275140999991,96.00884459999907,4.5,0.05,0,stim\mock3_c_04.jpg,stim\mock3_f_05.jpg,mock3,mock3,9.003955199999837,,normal,correct,85.99093209999955,91.00918699999966,254.61763729999984,51.4597689000002
JF,,1,1,12,12,1,coherent,5000,150.46699549999903,150.7008697000001,154.98257229999945,99.00722659999883,99.24110079999991,103.52280339999925,4,0.05,0,stim\im_c_04.jpg,stim\im_f_01.jpg,im,im,7.998039599999174,,normal,correct,93.98897169999873,99.00722659999883,254.61763729999984,51.4597689000002
JF,,1,1,13,13,1,coherent,5000,158.47698169999967,158.68112219999966,163.96249050000006,107.01721279999947,107.22135329999946,112.50272159999986,5,0.05,0,stim\hp_c_01.jpg,stim\hp_f_02.jpg,hp,hp,8.00998620000064,,normal,correct,101.99895789999937,107.01721279999947,254.61763729999984,51.4597689000002
JF,,1,1,14,14,1,coherent,5000,168.47000689999913,168.77711950000048,173.80871359999946,117.01023799999894,117.31735060000028,122.34894469999927,4.75,0.05,0,stim\am_c_04.jpg,stim\am_f_02.jpg,am,am,9.993025199999465,,normal,correct,111.99198309999883,117.01023799999894,254.61763729999984,51.4597689000002
JF,,1,1,15,15,1,coherent,5000,176.47500670000045,176.7241914999995,181.7556786999994,125.01523780000025,125.2644225999993,130.2959097999992,4.75,0.05,0,stim\poc_c_03.jpg,stim\poc_f_04.jpg,poc,poc,8.004999800001315,,normal,correct,119.99698290000015,125.01523780000025,254.61763729999984,51.4597689000002
