participant_id,participant_name,run,block_number,trial_number,global_trial_number,trial_type,condition,reaction_time,trial_trigger_time,s1_onset,s2_onset,trial_trigger_time_cor,s1_onset_cor,s2_onset_cor,isi,iti,button_press,s1_filename,s2_filename,s1_category,s2_category,elapsed_since_previous,target_trial_counter,is_target,target_accuracy,timer,tag,block_start,first_tag_trigger
JF,,2,1,1,1,4,neutral,5000,27.958892599999672,28.371392200000628,32.90284079999947,7.0079249999998865,7.4204246000008425,11.951873199999682,4.25,0.05,0,stim\mock4_c_05.jpg,stim\im_f_02.jpg,mock4,im,0,,normal,correct,0.0,7.0079249999998865,41.6404222000001,20.950967599999785
JF,,2,1,2,2,3,incoherent_mock,5000,34.9619160000002,35.252159600000596,40.53306519999933,14.010948400000416,14.30119200000081,19.582097599999543,5,0.05,0,stim\am_c_01.jpg,stim\mock3_f_04.jpg,am,mock3,7.003023400000529,,normal,correct,7.003023400000529,14.010948400000416,41.6404222000001,20.950967599999785
JF,,2,1,3,3,3,incoherent_mock,5000,43.96591679999983,44.181653199999346,48.46329449999939,23.014949200000046,23.23068559999956,27.512326899999607,4,0.05,0,stim\poc_c_04.jpg,stim\mock1_f_05.jpg,poc,mock1,9.00400079999963,,normal,correct,16.00702420000016,23.014949200000046,41.6404222000001,20.950967599999785
JF,,2,1,4,4,3,incoherent_mock,5000,52.961920499999906,53.21132170000055,58.24271950000002,32.01095290000012,32.26035410000077,37.291751900000236,4.75,0.05,0,stim\am_c_05.jpg,stim\mock1_f_01.jpg,am,mock1,8.996003700000074,,normal,correct,25.003027900000234,32.01095290000012,41.6404222000001,20.950967599999785
JF,,2,1,5,5,3,incoherent_mock,5000,61.96883659999912,62.257527600000685,67.27237240000068,41.01786899999934,41.3065600000009,46.32140480000089,4.75,0.05,0,stim\poc_c_03.jpg,stim\mock_f_03.jpg,poc,mock,9.006916099999216,,normal,correct,34.00994399999945,41.01786899999934,41.6404222000001,20.950967599999785
JF,,2,1,6,6,3,incoherent_mock,5000,70.95792009999968,71.20397090000006,76.21879590000026,50.0069524999999,50.25300330000027,55.267828300000474,4.75,0.05,0,stim\am_c_02.jpg,stim\mock4_f_05.jpg,am,mock4,8.989083500000561,,normal,correct,42.99902750000001,50.0069524999999,41.6404222000001,20.950967599999785
JF,,2,1,7,7,1,coherent,5000,80.95891370000027,81.16679429999931,85.44824030000018,60.00794610000048,60.215826699999525,64.4972727000004,4,0.05,0,stim\hp_c_04.jpg,stim\hp_f_03.jpg,hp,hp,10.000993600000584,,normal,correct,53.000021100000595,60.00794610000048,41.6404222000001,20.950967599999785
JF,,2,1,8,8,1,target,5000,88.96485170000051,89.18027810000058,93.96168190000026,68.01388410000072,68.22931050000079,73.01071430000047,4.5,0.05,0,stim\am_c_03.jpg,stim\am_f_03.jpg,am,am,8.005938000000242,,target,missed,61.00595910000084,68.01388410000072,41.6404222000001,20.950967599999785
JF,,2,1,9,9,1,coherent,5000,97.96184089999952,98.29306050000014,102.57479839999905,77.01087329999973,77.34209290000035,81.62383079999927,4,0.05,0,stim\poc_c_05.jpg,stim\poc_f_04.jpg,poc,poc,8.996989199999007,,normal,correct,70.00294829999984,77.01087329999973,41.6404222000001,20.950967599999785
JF,,2,1,10,10,2,incoherent_real,5000,106.96092580000004,107.25631959999919,111.53783830000066,86.00995820000026,86.3053519999994,90.58687070000087,4,0.05,0,stim\hp_c_02.jpg,stim\im_f_03.jpg,hp,im,8.999084900000526,,normal,correct,79.00203320000037,86.00995820000026,41.6404222000001,20.950967599999785
JF,,2,1,11,11,1,coherent,5000,114.96290760000011,115.25296460000027,119.78445490000013,94.01194000000032,94.30199700000048,98.83348730000034,4.25,0.05,0,stim\im_c_01.jpg,stim\im_f_05.jpg,im,im,8.001981800000067,,normal,correct,87.00401500000044,94.01194000000032,41.6404222000001,20.950967599999785
JF,,2,1,12,12,1,coherent,5000,123.96192599999995,124.18263879999904,128.947478099999,103.01095840000016,103.23167119999925,107.9965104999992,4.5,0.05,0,stim\am_c_04.jpg,stim\am_f_05.jpg,am,am,8.99901839999984,,normal,correct,96.00303340000028,103.01095840000016,41.6404222000001,20.950967599999785
JF,,2,1,13,13,1,coherent,5000,133.95692059999965,134.21192539999902,139.24341289999938,113.00595299999986,113.26095779999923,118.2924452999996,4.75,0.05,0,stim\poc_c_02.jpg,stim\poc_f_02.jpg,poc,poc,9.9949945999997,,normal,correct,105.99802799999998,113.00595299999986,41.6404222000001,20.950967599999785
JF,,2,1,14,14,2,incoherent_real,5000,143.96491199999946,144.25819570000021,148.5395881000004,123.01394439999967,123.30722810000043,127.58862050000062,4,0.05,0,stim\im_c_05.jpg,stim\am_f_02.jpg,im,am,10.00799139999981,,normal,correct,116.00601939999979,123.01394439999967,41.6404222000001,20.950967599999785
JF,,2,1,15,15,3,target,5000,151.96990229999938,152.204626499999,156.969522899999,131.0189346999996,131.2536588999992,136.0185552999992,4.5,0.05,0,stim\hp_c_03.jpg,stim\mock2_f_05.jpg,hp,mock2,8.004990299999918,,target,missed,124.0110096999997,131.0189346999996,41.6404222000001,20.950967599999785
